province,type,is_canal,adjacent,coastal_adjacent
Northern Eternal Sea,sea,no,Amarantine Sea 1; Amarantine Sea 2; Amarantine Sea 3; Eastern Glacier; Northern Passage; Retreat; Sea of Shadows; Shadow Isles; Southern Eternal Sea; Vastaya Bay,Amarantine Sea 1; Amarantine Sea 2; Amarantine Sea 3; Eastern Glacier; Northern Passage; Retreat; Sea of Shadows; Shadow Isles; Southern Eternal Sea; Vastaya Bay
Northern Passage,sea,no,Bard Wash; Hirana; Northern Eternal Sea; Puboe; Raikkon Sea; Retreat; Vastaya Bay,Bard Wash; Hirana; Northern Eternal Sea; Puboe; Raikkon Sea; Retreat; Vastaya Bay
Northern Unbounded Ocean,sea,no,Niverøya Island; North Tracker's Sea; South Tracker's Sea; Western Ice Sea; Western Unbounded Ocean; Western Wastes,Niverøya Island; North Tracker's Sea; South Tracker's Sea; Western Ice Sea; Western Unbounded Ocean; Western Wastes
Ornnkaal Glacier,land,no,Eastern Ice Sea; Western Ice Sea; Western Wastes,Eastern Ice Sea; Western Ice Sea; Western Wastes
Oulin,land,no,Kashuri Inlet; Vastaya Bay,Kashuri Inlet; Vastaya Bay
Paretha,land,no,Harelport; Ixtal Valley; Serpentine River; The Jaws,Harelport
Pilt Bay,sea,no,Eastern Central Sea; Mount Pilt; Piltover; Rokrund Bay; Rokrund Plains; Western Great Barrier; Western Twin Cities Bay,Eastern Central Sea; Mount Pilt; Piltover; Rokrund Bay; Rokrund Plains; Western Great Barrier; Western Twin Cities Bay
Piltover,land,yes,Eastern Twin Cities Bay; Mount Pilt; Pilt Bay; Western Twin Cities Bay; Zaun,Eastern Twin Cities Bay; Mount Pilt; Pilt Bay; Western Twin Cities Bay; Zaun
Placidium of Navori,land,no,Bard Mountain; Dragonspine; Ionia City; Kinkou; Tevasa Inlet; Weh'le,Dragonspine; Tevasa Inlet; Weh'le
Plague Bay,sea,no,Icathian Sea; Ixaocan; Ixaocan Sea; North Icathia; South Icathia; The Plague Arbor,Icathian Sea; Ixaocan; Ixaocan Sea; North Icathia; South Icathia; The Plague Arbor
Plains of Valoran 1,land,no,Argent Mountains; Badlands; Blood Mountains; Darkwill Peak; Immortal Bastion; Nockmirch; Plains of Valoran 2; Plains of Valoran 3; Tokogol; Trinity Mountains; Varju Mountains,
Plains of Valoran 2,land,no,Argent Mountains; Badlands; Blood Mountains; Darkwill Peak; Immortal Bastion; Nockmirch; Plains of Valoran 1; Plains of Valoran 3; Tokogol; Trinity Mountains; Varju Mountains,
Plains of Valoran 3,land,no,Argent Mountains; Badlands; Blood Mountains; Darkwill Peak; Immortal Bastion; Nockmirch; Plains of Valoran 1; Plains of Valoran 2; Tokogol; Trinity Mountains; Varju Mountains,
Puboe,land,no,Bard Mountain; Bard Wash; Northern Passage; Shon-Xan; Vastaya Bay,Bard Wash; Northern Passage; Vastaya Bay
Qaelin,land,no,Kashuri Inlet; Vastaya Bay,Kashuri Inlet; Vastaya Bay
Qualthala Mountains,land,no,Iron Pass; Kilgrove; Rokrund Bay; Rokrund Plains; Stonewall; Varju Mountains,Iron Pass; Kilgrove; Rokrund Bay; Rokrund Plains; Stonewall
Quchar,land,no,Eastern Ice Sea; Quchar Bay; Stormpeaks; Vathcaer Coast; Vorrijaard Mountain; Western Ice Sea,Eastern Ice Sea; Quchar Bay; Vathcaer Coast; Vorrijaard Mountain; Western Ice Sea
Quchar Bay,sea,no,Quchar; Vorrijaard Mountain; Western Ice Sea,Quchar; Vorrijaard Mountain; Western Ice Sea
Raikkon Sea,sea,no,Bard Wash; Central Glacier; Navori Bay; Northern Passage; Retreat; Sea of Noxus 1; Sea of Noxus 2; Sea of Noxus 3; Sea of Noxus 4; Sea of Noxus 5,Bard Wash; Central Glacier; Navori Bay; Northern Passage; Retreat; Sea of Noxus 1; Sea of Noxus 2; Sea of Noxus 3; Sea of Noxus 4; Sea of Noxus 5
Rakelstake,land,no,Bear Pass; Ghulfrost Mountain; Sisters' Peak; Stormpeaks; Yadulsk Basin,
Retreat,land,no,Central Glacier; Central Wastes; Eastern Glacier; Eastern Wastes; Northern Eternal Sea; Northern Passage; Raikkon Sea; The Expanse,Central Glacier; Eastern Glacier; Northern Eternal Sea; Northern Passage; Raikkon Sea
Rokrund Bay,sea,no,Eastern Central Sea; Pilt Bay; Qualthala Mountains; Rokrund Plains; Stonewall,Eastern Central Sea; Pilt Bay; Qualthala Mountains; Rokrund Plains; Stonewall
Rokrund Plains,land,no,Pilt Bay; Qualthala Mountains; Rokrund Bay; Varju Mountains; Western Great Barrier,Pilt Bay; Qualthala Mountains; Rokrund Bay; Western Great Barrier
Ruug,land,no,Dalamor Coast; Dalamor Plain; Gulf of Freljord; Iron Bay; Iron Pinnacle; Sea of Noxus 1; Sea of Noxus 2; Sea of Noxus 3; Sea of Noxus 4; Sea of Noxus 5,Dalamor Coast; Gulf of Freljord; Iron Bay; Iron Pinnacle; Sea of Noxus 1; Sea of Noxus 2; Sea of Noxus 3; Sea of Noxus 4; Sea of Noxus 5
Rygann's Reach,land,no,North Tracker's Sea; Valar's Bay; Vorrijaard Mountain; Western Ice Sea,North Tracker's Sea; Valar's Bay; Vorrijaard Mountain; Western Ice Sea
Sai Faraj,land,no,Kalamanda Mountains; Marai Territory; Mount Targon; The City of Gardens; The Great Sai 1; The Great Sai 2; The Great Sai 3,
Sai Khaleek,land,no,Antathir Plain; Bay of Icathia; Gate of Shurima; North Icathia; South Shurima; The Great Sai 1; The Great Sai 2; The Great Sai 3; The Sun Disc,Antathir Plain; Bay of Icathia
Sanctuary,land,no,Central Wastes; Eastern Ice Sea; Frozen Pass; The Expanse; The Reach; Western Glacier; Western Wastes,Eastern Ice Sea; Frozen Pass; Western Wastes
Sea of Lords,sea,no,Calais; Conqueror's Sea 1; Conqueror's Sea 2; Conqueror's Sea 3; Conqueror's Sea 4; Conqueror's Sea 5; Dawnhold; Evenmoor; Gulf of Demacia; South Tracker's Sea; Valar's Bay; Wrenwall Cliffs,Calais; Conqueror's Sea 1; Conqueror's Sea 2; Conqueror's Sea 3; Conqueror's Sea 4; Conqueror's Sea 5; Dawnhold; Evenmoor; Gulf of Demacia; South Tracker's Sea; Valar's Bay; Wrenwall Cliffs
Sea of Noxus 1,sea,no,Blood Gulf; Central Glacier; East Fang; Fae'lor; Frozen Pass; Gulf of Freljord; Iron Bay; Navori Bay; Raikkon Sea; Ruug; Sea of Noxus 2; Sea of Noxus 3; Sea of Noxus 4; Sea of Noxus 5; Strait of Ionia 1; Strait of Ionia 2; Strait of Ionia 3; The Drakkengate,Blood Gulf; Central Glacier; East Fang; Fae'lor; Frozen Pass; Gulf of Freljord; Iron Bay; Navori Bay; Raikkon Sea; Ruug; Sea of Noxus 2; Sea of Noxus 3; Sea of Noxus 4; Sea of Noxus 5; Strait of Ionia 1; Strait of Ionia 2; Strait of Ionia 3; The Drakkengate
Sea of Noxus 2,sea,no,Blood Gulf; Central Glacier; East Fang; Fae'lor; Frozen Pass; Gulf of Freljord; Iron Bay; Navori Bay; Raikkon Sea; Ruug; Sea of Noxus 1; Sea of Noxus 3; Sea of Noxus 4; Sea of Noxus 5; Strait of Ionia 1; Strait of Ionia 2; Strait of Ionia 3; The Drakkengate,Blood Gulf; Central Glacier; East Fang; Fae'lor; Frozen Pass; Gulf of Freljord; Iron Bay; Navori Bay; Raikkon Sea; Ruug; Sea of Noxus 1; Sea of Noxus 3; Sea of Noxus 4; Sea of Noxus 5; Strait of Ionia 1; Strait of Ionia 2; Strait of Ionia 3; The Drakkengate
Sea of Noxus 3,sea,no,Blood Gulf; Central Glacier; East Fang; Fae'lor; Frozen Pass; Gulf of Freljord; Iron Bay; Navori Bay; Raikkon Sea; Ruug; Sea of Noxus 1; Sea of Noxus 2; Sea of Noxus 4; Sea of Noxus 5; Strait of Ionia 1; Strait of Ionia 2; Strait of Ionia 3; The Drakkengate,Blood Gulf; Central Glacier; East Fang; Fae'lor; Frozen Pass; Gulf of Freljord; Iron Bay; Navori Bay; Raikkon Sea; Ruug; Sea of Noxus 1; Sea of Noxus 2; Sea of Noxus 4; Sea of Noxus 5; Strait of Ionia 1; Strait of Ionia 2; Strait of Ionia 3; The Drakkengate
Sea of Noxus 4,sea,no,Blood Gulf; Central Glacier; East Fang; Fae'lor; Frozen Pass; Gulf of Freljord; Iron Bay; Navori Bay; Raikkon Sea; Ruug; Sea of Noxus 1; Sea of Noxus 2; Sea of Noxus 3; Sea of Noxus 5; Strait of Ionia 1; Strait of Ionia 2; Strait of Ionia 3; The Drakkengate,Blood Gulf; Central Glacier; East Fang; Fae'lor; Frozen Pass; Gulf of Freljord; Iron Bay; Navori Bay; Raikkon Sea; Ruug; Sea of Noxus 1; Sea of Noxus 2; Sea of Noxus 3; Sea of Noxus 5; Strait of Ionia 1; Strait of Ionia 2; Strait of Ionia 3; The Drakkengate
Sea of Noxus 5,sea,no,Blood Gulf; Central Glacier; East Fang; Fae'lor; Frozen Pass; Gulf of Freljord; Iron Bay; Navori Bay; Raikkon Sea; Ruug; Sea of Noxus 1; Sea of Noxus 2; Sea of Noxus 3; Sea of Noxus 4; Strait of Ionia 1; Strait of Ionia 2; Strait of Ionia 3; The Drakkengate,Blood Gulf; Central Glacier; East Fang; Fae'lor; Frozen Pass; Gulf of Freljord; Iron Bay; Navori Bay; Raikkon Sea; Ruug; Sea of Noxus 1; Sea of Noxus 2; Sea of Noxus 3; Sea of Noxus 4; Strait of Ionia 1; Strait of Ionia 2; Strait of Ionia 3; The Drakkengate
Sea of Shadows,sea,no,Amarantine Sea 1; Amarantine Sea 2; Amarantine Sea 3; Eastern Guardian's Sea; Northern Eternal Sea; Temple of Pallas; Vastaya Bay,Amarantine Sea 1; Amarantine Sea 2; Amarantine Sea 3; Eastern Guardian's Sea; Northern Eternal Sea; Temple of Pallas; Vastaya Bay
Serpentine River,land,no,Gate of Shurima; Ixtal Valley; Kalduga; Killash; Kumungu; Paretha; The Jaws,
Shadow Isles,land,yes,Amarantine Sea 1; Amarantine Sea 2; Amarantine Sea 3; Northern Eternal Sea; Southern Eternal Sea,Amarantine Sea 1; Amarantine Sea 2; Amarantine Sea 3; Northern Eternal Sea; Southern Eternal Sea
Shon-Xan,land,no,Bard Mountain; Dragonspine; Kashuri Inlet; Puboe; Vastaya Bay,Dragonspine; Kashuri Inlet; Vastaya Bay
Sisters' Peak,land,no,Bear Pass; Freljord Plains; Rakelstake; The Vale; Yadulsk Basin,
South Icathia,land,no,Bay of Icathia; Bay of Shurima; Icathian Sea; North Icathia; Plague Bay,Bay of Icathia; Bay of Shurima; Icathian Sea; North Icathia; Plague Bay
South Shurima,land,no,Antathir Plain; Bay of Shurima; Marai Territory; Sai Khaleek; The City of Gardens; The Sun Disc,Antathir Plain; Bay of Shurima; Marai Territory
South Tracker's Sea,sea,no,Calais; Conqueror's Sea 1; Conqueror's Sea 2; Conqueror's Sea 3; Conqueror's Sea 4; Conqueror's Sea 5; North Tracker's Sea; Northern Unbounded Ocean; Sea of Lords; Strait of Nerima; Valar's Bay; Velorus Islands; Western Unbounded Ocean; Zuretta Archipelago,Calais; Conqueror's Sea 1; Conqueror's Sea 2; Conqueror's Sea 3; Conqueror's Sea 4; Conqueror's Sea 5; North Tracker's Sea; Northern Unbounded Ocean; Sea of Lords; Strait of Nerima; Valar's Bay; Velorus Islands; Western Unbounded Ocean; Zuretta Archipelago
Southern Eternal Sea,sea,no,Amarantine Sea 1; Amarantine Sea 2; Amarantine Sea 3; Icathian Sea; Northern Eternal Sea; Shadow Isles; Southern Unbounded Ocean,Amarantine Sea 1; Amarantine Sea 2; Amarantine Sea 3; Icathian Sea; Northern Eternal Sea; Shadow Isles; Southern Unbounded Ocean
Southern Unbounded Ocean,sea,no,Conqueror's Sea 1; Conqueror's Sea 2; Conqueror's Sea 3; Conqueror's Sea 4; Conqueror's Sea 5; Icathian Sea; Marai Territory; Southern Eternal Sea; Western Unbounded Ocean,Conqueror's Sea 1; Conqueror's Sea 2; Conqueror's Sea 3; Conqueror's Sea 4; Conqueror's Sea 5; Icathian Sea; Marai Territory; Southern Eternal Sea; Western Unbounded Ocean
Steward Mountain,land,no,Basilich; Blood Gulf; Bloodcliffs; Eastern Great Barrier; Strait of Ionia 1; Strait of Ionia 2; Strait of Ionia 3; The Drakkengate; Western Great Barrier,Basilich; Blood Gulf; Strait of Ionia 1; Strait of Ionia 2; Strait of Ionia 3; The Drakkengate
Stonewall,land,no,Eastern Central Sea; Iron Pass; Qualthala Mountains; Rokrund Bay,Eastern Central Sea; Iron Pass; Qualthala Mountains; Rokrund Bay
Stormpeaks,land,no,Bear Pass; Freljord Plains; Ghulfrost Mountain; Naljaäg; Quchar; Rakelstake; Vathcaer Coast; Vorrijaard Mountain,
Strait of Ionia 1,sea,no,Basilich; Bay of Zhyunia; Central Guardian's Sea; Eastern Guardian's Sea; Fae'lor; Fallgren; Sea of Noxus 1; Sea of Noxus 2; Sea of Noxus 3; Sea of Noxus 4; Sea of Noxus 5; Steward Mountain; Strait of Ionia 2; Strait of Ionia 3; Tevasa Inlet; The Drakkengate; Western Guardian's Sea; Wuju,Basilich; Bay of Zhyunia; Central Guardian's Sea; Eastern Guardian's Sea; Fae'lor; Fallgren; Sea of Noxus 1; Sea of Noxus 2; Sea of Noxus 3; Sea of Noxus 4; Sea of Noxus 5; Steward Mountain; Strait of Ionia 2; Strait of Ionia 3; Tevasa Inlet; The Drakkengate; Western Guardian's Sea; Wuju
Strait of Ionia 2,sea,no,Basilich; Bay of Zhyunia; Central Guardian's Sea; Eastern Guardian's Sea; Fae'lor; Fallgren; Sea of Noxus 1; Sea of Noxus 2; Sea of Noxus 3; Sea of Noxus 4; Sea of Noxus 5; Steward Mountain; Strait of Ionia 1; Strait of Ionia 3; Tevasa Inlet; The Drakkengate; Western Guardian's Sea; Wuju,Basilich; Bay of Zhyunia; Central Guardian's Sea; Eastern Guardian's Sea; Fae'lor; Fallgren; Sea of Noxus 1; Sea of Noxus 2; Sea of Noxus 3; Sea of Noxus 4; Sea of Noxus 5; Steward Mountain; Strait of Ionia 1; Strait of Ionia 3; Tevasa Inlet; The Drakkengate; Western Guardian's Sea; Wuju
Strait of Ionia 3,sea,no,Basilich; Bay of Zhyunia; Central Guardian's Sea; Eastern Guardian's Sea; Fae'lor; Fallgren; Sea of Noxus 1; Sea of Noxus 2; Sea of Noxus 3; Sea of Noxus 4; Sea of Noxus 5; Steward Mountain; Strait of Ionia 1; Strait of Ionia 2; Tevasa Inlet; The Drakkengate; Western Guardian's Sea; Wuju,Basilich; Bay of Zhyunia; Central Guardian's Sea; Eastern Guardian's Sea; Fae'lor; Fallgren; Sea of Noxus 1; Sea of Noxus 2; Sea of Noxus 3; Sea of Noxus 4; Sea of Noxus 5; Steward Mountain; Strait of Ionia 1; Strait of Ionia 2; Tevasa Inlet; The Drakkengate; Western Guardian's Sea; Wuju
Strait of Nerima,sea,no,Conqueror's Sea 1; Conqueror's Sea 2; Conqueror's Sea 3; Conqueror's Sea 4; Conqueror's Sea 5; South Tracker's Sea; Velorus Islands; Zuretta Archipelago,Conqueror's Sea 1; Conqueror's Sea 2; Conqueror's Sea 3; Conqueror's Sea 4; Conqueror's Sea 5; South Tracker's Sea; Velorus Islands; Zuretta Archipelago
Strait of Valoran,sea,no,Bilgewater Pass; Central Guardian's Sea; Eastern Twin Cities Bay; Holdrum; Ironwater; Krexor Bay; Kumangra; Kumungu; Mount Pilt; Mudtown,Bilgewater Pass; Central Guardian's Sea; Eastern Twin Cities Bay; Holdrum; Ironwater; Krexor Bay; Kumangra; Kumungu; Mount Pilt; Mudtown
Temple of Pallas,land,no,Eastern Guardian's Sea; Sea of Shadows; Tuula Strait; Vastaya Bay,Eastern Guardian's Sea; Sea of Shadows; Tuula Strait; Vastaya Bay
Tereshni,land,yes,Eastern Central Sea,Eastern Central Sea
Tevasa Inlet,sea,no,Bay of Zhyunia; Dragonspine; Fae'lor; Ionia City; Navori Plains; Placidium of Navori; Strait of Ionia 1; Strait of Ionia 2; Strait of Ionia 3; Vlonqo; Weh'le; Wuju,Bay of Zhyunia; Dragonspine; Fae'lor; Ionia City; Navori Plains; Placidium of Navori; Strait of Ionia 1; Strait of Ionia 2; Strait of Ionia 3; Vlonqo; Weh'le; Wuju
The City of Gardens,land,no,Marai Territory; Sai Faraj; South Shurima; The Great Sai 1; The Great Sai 2; The Great Sai 3; The Sun Disc,
The Delverhold,land,no,Dalamor Coast; Dalamor Plain; Fang Watershed; Ironspike Mountains,
The Drakkengate,land,no,Blood Gulf; Sea of Noxus 1; Sea of Noxus 2; Sea of Noxus 3; Sea of Noxus 4; Sea of Noxus 5; Steward Mountain; Strait of Ionia 1; Strait of Ionia 2; Strait of Ionia 3,Blood Gulf; Sea of Noxus 1; Sea of Noxus 2; Sea of Noxus 3; Sea of Noxus 4; Sea of Noxus 5; Steward Mountain; Strait of Ionia 1; Strait of Ionia 2; Strait of Ionia 3
The Expanse,land,no,Central Wastes; Eastern Wastes; Retreat; Sanctuary; The Reach,
The Graygate,land,no,Bargate Plains; Greenfang Mountains; Jandelle; Meltridge Basin; Uwendale,
The Great Sai 1,land,no,Bel'zhun; Gate of Shurima; Kalamanda Mountains; Kalduga; Nashramae; Sai Faraj; Sai Khaleek; The City of Gardens; The Great Sai 2; The Great Sai 3; The Sun Disc; Urzeris,
The Great Sai 2,land,no,Bel'zhun; Gate of Shurima; Kalamanda Mountains; Kalduga; Nashramae; Sai Faraj; Sai Khaleek; The City of Gardens; The Great Sai 1; The Great Sai 3; The Sun Disc; Urzeris,
The Great Sai 3,land,no,Bel'zhun; Gate of Shurima; Kalamanda Mountains; Kalduga; Nashramae; Sai Faraj; Sai Khaleek; The City of Gardens; The Great Sai 1; The Great Sai 2; The Sun Disc; Urzeris,
The Jaws,land,no,Amarantine Sea 1; Amarantine Sea 2; Amarantine Sea 3; Bilgewater Pass; Harelport; Harelport Bay; Ixaocan; Ixtal Valley; Kumungu; Mudtown; Paretha; Serpentine River; The Serpentine Delta,Amarantine Sea 1; Amarantine Sea 2; Amarantine Sea 3; Bilgewater Pass; Harelport; Harelport Bay; Ixaocan; Mudtown; The Serpentine Delta
The Plague Arbor,land,no,Ixaocan; Ixtal Valley; Killash; North Icathia; Plague Bay,Ixaocan; North Icathia; Plague Bay
The Reach,land,no,Sanctuary; The Expanse; Western Wastes,
The Serpentine Delta,land,yes,Amarantine Sea 1; Amarantine Sea 2; Amarantine Sea 3; Bilgewater Pass; Harelport Bay; The Jaws,Amarantine Sea 1; Amarantine Sea 2; Amarantine Sea 3; Bilgewater Pass; Harelport Bay; The Jaws
The Silent Forest,land,no,Argent Mountains; Bargate Plains; Demacia City; Evenmoor; Greenfang Mountains; Jandelle; Nockmirch,
The Sun Disc,land,no,Sai Khaleek; South Shurima; The City of Gardens; The Great Sai 1; The Great Sai 2; The Great Sai 3,
The Vale,land,no,Freljord Plains; Sisters' Peak; Trinity Mountains; Uwendale; Yadulsk Basin,
Tokogol,land,no,Blood Mountains; Dalamor Plain; Freljord Plains; Ironspike Mountains; Plains of Valoran 1; Plains of Valoran 2; Plains of Valoran 3; Trinity Mountains,
Trevale,land,no,Argent Mountains; Evenmoor; Glorft Coast; Kilgrove,Evenmoor; Glorft Coast; Kilgrove
Trinity Mountains,land,no,Bargate Plains; Freljord Plains; Nockmirch; Plains of Valoran 1; Plains of Valoran 2; Plains of Valoran 3; The Vale; Tokogol; Uwendale,
Tuula Strait,sea,no,Eastern Guardian's Sea; Temple of Pallas; Vastaya Bay; Zhyun,Eastern Guardian's Sea; Temple of Pallas; Vastaya Bay; Zhyun
Ursine Lands,land,yes,Eastern Ice Sea,Eastern Ice Sea
Urzeris,land,no,Eastern Central Sea; Iron Pass; Kalamanda Mountains; Nashramae; The Great Sai 1; The Great Sai 2; The Great Sai 3; Western Central Sea,Eastern Central Sea; Iron Pass; Kalamanda Mountains; Nashramae; Western Central Sea
Uwendale,land,no,Bargate Plains; Bluespine Mountains; Meltridge Basin; The Graygate; The Vale; Trinity Mountains; Yadulsk Basin,
Valar's Bay,sea,no,Calais; Dawnhold; Fossbarrow; Frostheld; Ghulfrost Mountain; Gulf of Demacia; High Silvermere; North Tracker's Sea; Rygann's Reach; Sea of Lords; South Tracker's Sea; Vorrijaard Mountain,Calais; Dawnhold; Fossbarrow; Frostheld; Ghulfrost Mountain; Gulf of Demacia; High Silvermere; North Tracker's Sea; Rygann's Reach; Sea of Lords; South Tracker's Sea; Vorrijaard Mountain
Varju Mountains,land,no,Argent Mountains; Badlands; Kilgrove; Plains of Valoran 1; Plains of Valoran 2; Plains of Valoran 3; Qualthala Mountains; Rokrund Plains; Western Great Barrier,
Vaskasia,land,no,Dawnhold; Demacia City; Evenmoor; Gulf of Demacia; Wrenwall Cliffs,Dawnhold; Gulf of Demacia
Vastaya Bay,sea,no,Hirana; Kashuri Inlet; Northern Eternal Sea; Northern Passage; Oulin; Puboe; Qaelin; Sea of Shadows; Shon-Xan; Temple of Pallas; Tuula Strait; Zhyun,Hirana; Kashuri Inlet; Northern Eternal Sea; Northern Passage; Oulin; Puboe; Qaelin; Sea of Shadows; Shon-Xan; Temple of Pallas; Tuula Strait; Zhyun
Vathcaer Coast,land,no,Eastern Ice Sea; Frostguard Citadel; Frozen Pass; Naljaäg; Quchar; Stormpeaks,Eastern Ice Sea; Frozen Pass; Quchar
Velorus Islands,land,yes,Conqueror's Sea 1; Conqueror's Sea 2; Conqueror's Sea 3; Conqueror's Sea 4; Conqueror's Sea 5; South Tracker's Sea; Strait of Nerima,Conqueror's Sea 1; Conqueror's Sea 2; Conqueror's Sea 3; Conqueror's Sea 4; Conqueror's Sea 5; South Tracker's Sea; Strait of Nerima
Vindor,land,no,Basilich; Central Guardian's Sea; Eastern Great Barrier; Ironwater; Krexor; Western Guardian's Sea,Basilich; Central Guardian's Sea; Ironwater; Western Guardian's Sea
Vlonqo,land,no,Bay of Zhyunia; Dragonspine; Kashuri Inlet; Tevasa Inlet,Bay of Zhyunia; Dragonspine; Kashuri Inlet; Tevasa Inlet
Vorrijaard Mountain,land,no,Ghulfrost Mountain; Quchar; Quchar Bay; Rygann's Reach; Stormpeaks; Valar's Bay; Western Ice Sea,Ghulfrost Mountain; Quchar; Quchar Bay; Rygann's Reach; Valar's Bay; Western Ice Sea
Weh'le,land,no,Ionia City; Placidium of Navori; Tevasa Inlet,Ionia City; Placidium of Navori; Tevasa Inlet
West Fang,land,no,East Fang; Frostguard Citadel; Frozen Pass; Ice Spine Mountains,East Fang; Frostguard Citadel; Frozen Pass
Western Central Sea,sea,no,Aurma; Conqueror's Sea 1; Conqueror's Sea 2; Conqueror's Sea 3; Conqueror's Sea 4; Conqueror's Sea 5; Glorft Coast; Iron Pass; Kalamanda Bay; Kalamanda Mountains; Urzeris,Aurma; Conqueror's Sea 1; Conqueror's Sea 2; Conqueror's Sea 3; Conqueror's Sea 4; Conqueror's Sea 5; Glorft Coast; Iron Pass; Kalamanda Bay; Kalamanda Mountains; Urzeris
Western Glacier,land,no,Central Glacier; Central Wastes; Frozen Pass; Sanctuary,Central Glacier; Frozen Pass
Western Great Barrier,land,no,Badlands; Bloodcliffs; Eastern Great Barrier; Mount Pilt; Pilt Bay; Rokrund Plains; Steward Mountain; Varju Mountains,Pilt Bay; Rokrund Plains
Western Guardian's Sea,sea,no,Basilich; Central Guardian's Sea; Strait of Ionia 1; Strait of Ionia 2; Strait of Ionia 3; Vindor,Basilich; Central Guardian's Sea; Strait of Ionia 1; Strait of Ionia 2; Strait of Ionia 3; Vindor
Western Ice Sea,sea,no,Eastern Ice Sea; Niverøya Island; North Tracker's Sea; Northern Unbounded Ocean; Ornnkaal Glacier; Quchar; Quchar Bay; Rygann's Reach; Vorrijaard Mountain; Western Wastes,Eastern Ice Sea; Niverøya Island; North Tracker's Sea; Northern Unbounded Ocean; Ornnkaal Glacier; Quchar; Quchar Bay; Rygann's Reach; Vorrijaard Mountain; Western Wastes
Western Twin Cities Bay,sea,no,Eastern Central Sea; Kumangra; Mount Pilt; Pilt Bay; Piltover; Zaun,Eastern Central Sea; Kumangra; Mount Pilt; Pilt Bay; Piltover; Zaun
Western Unbounded Ocean,sea,no,Conqueror's Sea 1; Conqueror's Sea 2; Conqueror's Sea 3; Conqueror's Sea 4; Conqueror's Sea 5; Northern Unbounded Ocean; South Tracker's Sea; Southern Unbounded Ocean,Conqueror's Sea 1; Conqueror's Sea 2; Conqueror's Sea 3; Conqueror's Sea 4; Conqueror's Sea 5; Northern Unbounded Ocean; South Tracker's Sea; Southern Unbounded Ocean
Western Wastes,land,no,Eastern Ice Sea; Northern Unbounded Ocean; Ornnkaal Glacier; Sanctuary; The Reach; Western Ice Sea,Eastern Ice Sea; Northern Unbounded Ocean; Ornnkaal Glacier; Sanctuary; Western Ice Sea
Wrenwall Cliffs,land,no,Dawnhold; Evenmoor; Gulf of Demacia; Sea of Lords; Vaskasia,Dawnhold; Evenmoor; Gulf of Demacia; Sea of Lords
Wuju,land,no,Bay of Zhyunia; Strait of Ionia 1; Strait of Ionia 2; Strait of Ionia 3; Tevasa Inlet,Bay of Zhyunia; Strait of Ionia 1; Strait of Ionia 2; Strait of Ionia 3; Tevasa Inlet
Yadulsk Basin,land,no,Bluespine Mountains; Ghulfrost Mountain; Rakelstake; Sisters' Peak; The Vale; Uwendale,
Zaun,land,no,Eastern Twin Cities Bay; Kumangra; Mount Pilt; Piltover; Western Twin Cities Bay,Eastern Twin Cities Bay; Kumangra; Mount Pilt; Piltover; Western Twin Cities Bay
Zhyun,land,no,Bay of Zhyunia; Eastern Guardian's Sea; Kashuri Inlet; Tuula Strait; Vastaya Bay,Bay of Zhyunia; Eastern Guardian's Sea; Kashuri Inlet; Tuula Strait; Vastaya Bay
Zuretta Archipelago,land,yes,Conqueror's Sea 1; Conqueror's Sea 2; Conqueror's Sea 3; Conqueror's Sea 4; Conqueror's Sea 5; South Tracker's Sea; Strait of Nerima,Conqueror's Sea 1; Conqueror's Sea 2; Conqueror's Sea 3; Conqueror's Sea 4; Conqueror's Sea 5; South Tracker's Sea; Strait of Nerima
